日期,原料,投入重量(kg),果皮重量(kg),不良品重量(kg),果肉成品重量(kg),班別,步留率(%)
2026-01-24,芒果,159,27.7,7.6,123.7,食品二班,77.8
2026-04-13,蘋果,417,40.9,7.6,368.5,食品一班,88.37
2026-05-20,柚子,406,132,14.9,259.1,食品三班,63.82
2026-01-03,奇異果,374,47.7,17.9,308.4,食品三班,82.46
2026-04-04,草莓,466,51,8,407,食品二班,87.34
2026-04-14,鳳梨,211,67.2,22.1,121.7,食品一班,57.68
2026-01-31,蘋果,444,43.9,9.2,390.9,食品一班,88.04
2026-01-28,鳳梨,313,90.7,22.3,200,食品一班,63.9
2026-01-21,奇異果,168,24,7.9,136.1,食品三班,81.01
2026-03-24,奇異果,377,69.2,18.5,289.3,食品一班,76.74
2026-01-21,草莓,476,34.5,12.4,429.1,食品二班,90.15
2026-01-06,柚子,441,170.2,21.1,249.7,食品一班,56.62
2026-04-08,芒果,219,32.9,9.5,176.6,食品三班,80.64
2026-03-21,草莓,473,29.5,12.6,430.9,食品三班,91.1
2026-04-06,蘋果,427,41.2,6.2,379.6,食品二班,88.9
2026-05-20,蘋果,293,28.7,4.9,259.4,食品二班,88.53
2026-02-22,芒果,260,53.2,10.8,196,食品三班,75.38
2026-04-03,芒果,355,78,8.9,268.1,食品二班,75.52
2026-01-23,芒果,492,73.8,23.1,395.1,食品一班,80.3
2026-03-30,草莓,343,31.1,7.2,304.7,食品三班,88.83
2026-04-16,芒果,172,35.2,7.6,129.2,食品一班,75.12
2026-05-21,奇異果,123,24.4,5.6,93,食品二班,75.61
2026-04-15,蘋果,306,31.3,4.7,270,食品一班,88.24
2026-05-13,奇異果,459,74.6,24.5,359.9,食品一班,78.41
2026-03-24,蘋果,392,38.4,6.7,346.9,食品一班,88.49
2026-03-23,芒果,304,55.3,14,234.7,食品一班,77.2
2026-02-25,芒果,341,72.3,10.2,258.5,食品一班,75.81
2026-01-09,柚子,259,103.1,11.8,144.1,食品二班,55.64
2026-03-03,鳳梨,280,77.1,33,169.9,食品一班,60.68
2026-01-22,柚子,133,38.4,15.6,79,食品一班,59.4
2026-02-04,草莓,135,13.4,3.2,118.4,食品一班,87.7
2026-02-02,蘋果,281,23,5.2,252.8,食品三班,89.96
2026-05-12,芒果,103,17.2,2.6,83.2,食品三班,80.78
2026-03-10,鳳梨,297,100.4,33.1,163.5,食品三班,55.05
2026-01-28,柚子,141,43.5,13,84.5,食品一班,59.93
2026-05-14,草莓,174,16.8,4.1,153.1,食品一班,87.99
2026-04-06,芒果,327,49.9,10,267.1,食品一班,81.68
2026-02-02,芒果,353,56.1,13,283.9,食品三班,80.42
2026-04-30,奇異果,429,83.4,18.7,326.9,食品二班,76.2
2026-04-27,鳳梨,404,121.5,20.6,261.9,食品二班,64.83
2026-01-06,芒果,421,74.3,18.2,328.5,食品二班,78.03
2026-04-06,芒果,315,54.5,19.1,241.4,食品二班,76.63
2026-02-01,草莓,403,46.1,10.1,346.8,食品二班,86.05
2026-03-13,鳳梨,225,79.4,19.8,125.8,食品一班,55.91
2026-02-19,蘋果,420,33,13.4,373.6,食品二班,88.95
2026-03-25,草莓,107,10.2,3.2,93.6,食品三班,87.48
2026-03-09,芒果,214,34.9,9,170.1,食品一班,79.49
2026-02-22,蘋果,380,37.4,13,329.6,食品三班,86.74
2026-04-19,芒果,197,41.8,7.1,148.1,食品三班,75.18
2026-01-31,蘋果,234,22.4,3.8,207.8,食品一班,88.8
2026-02-27,柚子,126,44.5,11,70.5,食品一班,55.95
2026-03-15,柚子,328,104.7,13.4,209.9,食品三班,63.99
2026-01-11,鳳梨,254,95.9,11.9,146.2,食品二班,57.56
2026-01-01,蘋果,290,26.9,10,253.1,食品三班,87.28
2026-01-12,草莓,387,34.8,6.4,345.8,食品二班,89.35
2026-02-13,奇異果,440,61.9,22.4,355.7,食品一班,80.84
2026-03-12,草莓,374,36.1,10.6,327.3,食品二班,87.51
2026-05-10,蘋果,161,18.4,2.7,139.9,食品一班,86.89
2026-04-02,草莓,253,18.4,3.9,230.7,食品二班,91.19
2026-04-13,鳳梨,308,94.4,16.4,197.2,食品二班,64.03
2026-05-20,鳳梨,127,46.1,5.6,75.3,食品二班,59.29
2026-03-05,芒果,203,37.2,5.8,160,食品二班,78.82
2026-01-02,柚子,243,67.7,17.4,157.9,食品一班,64.98
2026-03-30,芒果,141,24.4,3.9,112.7,食品一班,79.93
2026-01-09,芒果,114,20.7,4.1,89.2,食品三班,78.25
2026-04-02,鳳梨,180,59.2,11.8,109,食品三班,60.56
2026-01-19,鳳梨,322,89.5,25.8,206.7,食品二班,64.19
2026-04-21,草莓,468,42.1,15.9,410,食品一班,87.61
2026-03-15,奇異果,168,19.7,6.9,141.4,食品二班,84.17
2026-03-09,鳳梨,314,95.2,30.1,188.7,食品一班,60.1
2026-04-04,蘋果,137,15,2.9,119.1,食品三班,86.93
2026-05-18,芒果,195,32.6,9.9,152.5,食品三班,78.21
2026-05-23,柚子,497,149.9,60.8,286.3,食品三班,57.61
2026-03-04,奇異果,186,35.2,6.7,144.1,食品三班,77.47
2026-02-15,草莓,407,50.8,5.8,350.4,食品三班,86.09
2026-04-26,柚子,367,110.1,29.2,227.7,食品二班,62.04
2026-05-16,草莓,272,18,7,247,食品二班,90.81
2026-01-06,芒果,310,54.2,19,236.8,食品一班,76.39
2026-02-15,蘋果,437,51.5,10.7,374.8,食品一班,85.77
2026-03-23,鳳梨,394,132.3,36,225.7,食品三班,57.28
2026-04-09,芒果,172,23.3,8.8,139.9,食品三班,81.34
2026-03-18,蘋果,141,15.4,3.6,122,食品一班,86.52
2026-02-14,鳳梨,116,28.9,11.8,75.3,食品二班,64.91
2026-01-08,草莓,486,59.7,8.5,417.8,食品三班,85.97
2026-03-25,鳳梨,230,73.1,9.1,147.8,食品二班,64.26
2026-05-12,柚子,394,132.6,21.5,239.9,食品一班,60.89
2026-01-23,奇異果,220,31,9.6,179.4,食品一班,81.55
2026-03-08,鳳梨,127,41.4,8.9,76.7,食品一班,60.39
2026-02-09,鳳梨,130,32.9,13.1,84,食品一班,64.62
2026-03-02,奇異果,429,71.7,22.4,334.9,食品二班,78.07
2026-01-07,芒果,224,46.4,9.5,168.1,食品三班,75.04
2026-05-19,奇異果,160,29.3,10.4,120.3,食品二班,75.19
2026-03-29,鳳梨,205,72.9,9.7,122.4,食品三班,59.71
2026-01-27,草莓,168,14.1,4.3,149.6,食品三班,89.05
2026-03-22,蘋果,179,21.4,2.5,155.1,食品三班,86.65
2026-02-16,奇異果,231,49.7,6.2,175.1,食品二班,75.8
2026-03-06,柚子,407,122.2,27.7,257.1,食品二班,63.17
2026-01-10,草莓,346,29.5,12.5,304,食品三班,87.86
2026-05-21,蘋果,189,18.9,7.6,162.5,食品二班,85.98
2026-03-28,草莓,412,29.4,6.2,376.4,食品二班,91.36
2026-01-23,柚子,250,74.1,20.2,155.7,食品二班,62.28
2026-05-04,蘋果,302,32.4,4.9,264.7,食品二班,87.65
2026-01-30,芒果,153,29.3,5.1,118.6,食品三班,77.52
2026-04-23,草莓,344,40.7,10.8,292.5,食品一班,85.03
2026-04-27,鳳梨,451,144.6,26.6,279.8,食品三班,62.04
2026-05-03,柚子,473,121.1,48.2,303.7,食品三班,64.21
2026-05-21,柚子,180,61.5,15.8,102.7,食品一班,57.06
2026-05-02,草莓,487,41.4,10.4,435.2,食品二班,89.36
2026-02-10,奇異果,406,52.7,10.5,342.8,食品二班,84.43
2026-03-16,鳳梨,295,89.8,37.3,167.9,食品一班,56.92
2026-03-20,草莓,283,27.6,8,247.4,食品二班,87.42
2026-03-03,柚子,461,154.3,44.6,262.1,食品三班,56.85
2026-03-12,柚子,301,79.1,33,188.9,食品三班,62.76
2026-03-04,芒果,368,76.1,13.5,278.4,食品三班,75.65
2026-05-23,芒果,290,53.3,16.2,220.5,食品三班,76.03
2026-02-15,鳳梨,245,77.1,16.4,151.5,食品二班,61.84
2026-03-16,蘋果,351,34.8,11.1,305.1,食品一班,86.92
2026-02-07,草莓,388,30.9,5.5,351.6,食品一班,90.62
2026-05-11,草莓,215,21.2,6.5,187.3,食品一班,87.12
2026-01-16,奇異果,428,79.4,12.4,336.2,食品一班,78.55
2026-01-30,蘋果,267,31.9,6.9,228.2,食品三班,85.47
2026-01-03,柚子,386,105.7,36.3,244,食品三班,63.21
2026-05-06,蘋果,399,36.3,8.6,354.1,食品一班,88.75
2026-02-07,鳳梨,100,34.9,5.9,59.2,食品一班,59.2
2026-05-13,奇異果,166,26.8,6.3,132.9,食品三班,80.06
2026-03-26,柚子,192,67.3,13.9,110.8,食品二班,57.71
2026-05-05,蘋果,258,25.7,5.8,226.5,食品一班,87.79
2026-04-01,柚子,318,92.6,23.7,201.7,食品三班,63.43
2026-01-17,芒果,231,38.2,6.8,186,食品三班,80.52
2026-03-15,蘋果,492,52.6,6.8,432.6,食品三班,87.93
2026-03-22,鳳梨,442,159.6,32.1,250.3,食品二班,56.63
2026-01-28,鳳梨,251,87.2,20.8,143,食品一班,56.97
2026-04-09,奇異果,417,88.9,14.5,313.6,食品二班,75.2
2026-03-03,柚子,474,133.4,40.6,300,食品三班,63.29
2026-04-30,奇異果,391,51.2,18.9,320.9,食品三班,82.07
2026-05-12,芒果,158,23.8,5.1,129.1,食品三班,81.71
2026-04-10,芒果,227,34,12.6,180.4,食品二班,79.47
2026-01-16,鳳梨,314,83.5,33.8,196.7,食品二班,62.64
2026-01-13,奇異果,126,23.4,6.1,96.5,食品一班,76.59
2026-03-11,蘋果,455,37.6,9.2,408.2,食品二班,89.71
2026-04-26,蘋果,132,13.6,3.6,114.8,食品二班,86.97
2026-02-22,奇異果,213,33.7,13.9,165.4,食品三班,77.65
2026-03-25,芒果,431,80.7,19.2,331.1,食品三班,76.82
2026-01-24,柚子,448,133.9,27.5,286.6,食品一班,63.97
2026-03-14,鳳梨,267,89.3,17,160.7,食品三班,60.19
2026-02-17,鳳梨,392,124.4,51.9,215.7,食品二班,55.03
2026-05-21,柚子,347,98.3,32.9,215.8,食品二班,62.19
2026-02-19,鳳梨,300,101.4,27.5,171.1,食品三班,57.03
2026-05-18,草莓,321,22.1,4.1,294.8,食品二班,91.84
2026-05-06,柚子,454,145.3,43.7,265,食品一班,58.37
2026-02-08,草莓,276,20.8,7.3,247.9,食品一班,89.82
2026-03-06,芒果,132,20.7,7.2,104.1,食品一班,78.86
2026-02-14,草莓,356,35.7,14.5,305.8,食品三班,85.9
2026-03-16,奇異果,231,35,9.6,186.4,食品二班,80.69
2026-02-01,奇異果,263,35.9,9.4,217.7,食品一班,82.78
2026-01-03,草莓,357,35.1,6.2,315.7,食品二班,88.43
2026-04-22,芒果,314,46.9,19.5,247.6,食品二班,78.85
2026-03-20,鳳梨,429,150.7,24.2,254.1,食品二班,59.23
2026-04-08,鳳梨,180,49.8,13.7,116.5,食品一班,64.72
2026-05-07,奇異果,388,84,10.5,293.5,食品三班,75.64
2026-02-28,柚子,194,61.1,9.8,123.1,食品二班,63.45
2026-03-18,蘋果,339,32.5,10.9,295.6,食品二班,87.2
2026-04-16,奇異果,253,53.6,6.4,193,食品一班,76.28
2026-04-02,芒果,202,37.6,11,153.4,食品三班,75.94
2026-01-12,奇異果,121,15.8,3.8,101.4,食品一班,83.8
2026-01-29,鳳梨,318,102,35.6,180.4,食品三班,56.73
2026-01-17,奇異果,399,55.8,6.6,336.6,食品三班,84.36
2026-03-02,草莓,272,23.9,5.6,242.5,食品一班,89.15
2026-03-07,奇異果,371,61.6,8.6,300.8,食品二班,81.08
2026-02-27,鳳梨,370,123.6,15.2,231.2,食品三班,62.49
2026-04-14,奇異果,350,63.2,22.3,264.5,食品一班,75.57
2026-04-12,柚子,336,98.1,27,210.9,食品二班,62.77
2026-04-30,鳳梨,268,71.5,24.9,171.6,食品三班,64.03
2026-04-06,芒果,306,58.7,7.7,239.6,食品三班,78.3
2026-03-09,蘋果,362,46.6,6.3,309.1,食品三班,85.39
2026-03-16,奇異果,443,52.6,17.3,373.1,食品一班,84.22
2026-03-22,奇異果,350,42.4,15.4,292.2,食品三班,83.49
2026-04-22,奇異果,271,54,12.1,204.9,食品二班,75.61
2026-03-21,蘋果,124,12.1,4.4,107.5,食品一班,86.69
2026-04-19,奇異果,198,36.5,5,156.5,食品一班,79.04
2026-03-01,蘋果,355,31,10.6,313.4,食品一班,88.28
2026-01-24,草莓,293,24.6,6.8,261.6,食品二班,89.28
2026-03-23,鳳梨,469,158.2,18.1,292.7,食品二班,62.41
2026-02-19,柚子,258,71,25.8,161.2,食品二班,62.48
2026-02-16,奇異果,214,41.2,7.3,165.5,食品一班,77.34
2026-01-02,奇異果,137,20,6.2,110.8,食品一班,80.88
2026-05-03,鳳梨,409,128.3,40.2,240.5,食品二班,58.8
2026-03-21,蘋果,103,10.2,2.8,90,食品一班,87.38
2026-05-03,草莓,449,45.1,6.2,397.7,食品三班,88.57
2026-03-16,草莓,488,31,10.7,446.3,食品一班,91.45
2026-01-07,草莓,230,22,7.1,200.9,食品二班,87.35
2026-01-26,奇異果,382,80.5,10.2,291.3,食品二班,76.26
2026-04-12,草莓,390,42.2,8.8,339,食品三班,86.92
2026-04-02,鳳梨,164,63.8,8.6,91.6,食品三班,55.85
2026-02-14,鳳梨,421,124.7,27.4,268.9,食品一班,63.87
2026-04-23,鳳梨,117,39.5,6.2,71.3,食品一班,60.94
2026-02-24,鳳梨,252,78.4,13,160.6,食品一班,63.73
2026-04-28,柚子,329,98.9,18.4,211.7,食品二班,64.35
2026-01-17,柚子,288,94.1,12.3,181.6,食品三班,63.06
2026-03-13,蘋果,191,15.9,6.3,168.8,食品二班,88.38
2026-01-19,奇異果,212,35.4,14.2,162.4,食品一班,76.6
2026-04-07,鳳梨,331,105.5,41.7,183.8,食品三班,55.53
2026-05-19,柚子,450,168.4,27.2,254.4,食品三班,56.53
2026-04-20,鳳梨,363,115.1,45.2,202.7,食品三班,55.84
2026-03-05,奇異果,454,84.9,13.3,355.8,食品二班,78.37
2026-03-11,柚子,348,124.4,27.3,196.3,食品三班,56.41
2026-02-25,柚子,191,60.8,13.1,117.1,食品二班,61.31
2026-03-14,奇異果,288,53.3,7.7,227,食品一班,78.82
2026-03-10,柚子,303,116,17.1,169.9,食品一班,56.07
2026-02-19,芒果,109,20.2,6.4,82.4,食品三班,75.6
2026-05-17,鳳梨,496,158.3,28,309.7,食品二班,62.44
2026-04-13,柚子,259,82.9,25.2,150.9,食品三班,58.26
2026-02-27,草莓,389,27.1,7.5,354.4,食品一班,91.11
2026-05-14,奇異果,178,36.9,4.9,136.2,食品一班,76.52
2026-01-11,奇異果,473,86.9,27,359.1,食品二班,75.92
2026-05-19,奇異果,391,48.3,19.5,323.2,食品三班,82.66
2026-02-26,奇異果,458,77.9,25.7,354.4,食品二班,77.38
2026-05-18,奇異果,290,38.6,9.2,242.2,食品一班,83.52
2026-05-18,草莓,380,28.9,7.2,343.9,食品二班,90.5
2026-03-06,柚子,332,104.6,24.1,203.3,食品三班,61.23
2026-04-05,蘋果,159,15,2.4,141.6,食品三班,89.06
2026-01-07,草莓,108,7.7,2.3,98,食品一班,90.74
2026-03-29,柚子,192,57.1,19.9,115,食品三班,59.9
2026-05-16,草莓,107,10.1,3,93.9,食品一班,87.76
2026-01-13,芒果,450,67.6,19,363.4,食品三班,80.76
2026-05-20,草莓,162,14.9,5.8,141.3,食品二班,87.22
2026-01-09,草莓,349,30.1,7.6,311.3,食品二班,89.2
2026-01-21,鳳梨,373,141.4,19.5,212.1,食品二班,56.86
2026-04-27,蘋果,119,11.5,4.7,102.8,食品三班,86.39
2026-01-05,柚子,187,57.7,17.6,111.7,食品一班,59.73
2026-02-12,蘋果,213,24.3,7.4,181.3,食品一班,85.12
2026-03-30,蘋果,150,15,3.2,131.8,食品一班,87.87
2026-01-07,柚子,475,131.1,53.2,290.7,食品二班,61.2
2026-01-26,鳳梨,300,82.7,32.9,184.4,食品一班,61.47
2026-04-17,草莓,364,40.3,6.6,317.1,食品三班,87.12
2026-03-13,蘋果,474,44.2,18.9,410.9,食品一班,86.69
2026-05-12,草莓,248,26.7,8.9,212.4,食品二班,85.65
2026-02-22,蘋果,263,23,7.4,232.6,食品一班,88.44
2026-01-15,草莓,148,16.8,3.5,127.7,食品二班,86.28
2026-01-29,柚子,455,140.3,54.9,259.8,食品三班,57.1
2026-03-04,草莓,472,41.4,11.3,419.3,食品三班,88.83
2026-03-24,柚子,133,36.9,11,85.1,食品二班,63.98
2026-03-20,柚子,106,36.1,8.7,61.2,食品三班,57.74
2026-05-30,芒果,158,27.1,7.5,123.4,食品一班,78.1
2026-05-17,奇異果,313,62.9,8.3,241.8,食品三班,77.25
2026-05-18,草莓,332,33.3,4,294.7,食品三班,88.77
2026-04-05,芒果,292,42.4,16.2,233.4,食品二班,79.93
2026-02-20,柚子,445,145.2,30.7,269.1,食品二班,60.47
2026-01-27,奇異果,177,27.8,5.7,143.5,食品三班,81.07
2026-01-27,芒果,273,46.3,13.8,212.9,食品三班,77.99
2026-03-04,蘋果,389,38,5.7,345.3,食品三班,88.77
2026-02-28,蘋果,419,38.9,10.4,369.7,食品一班,88.23
2026-03-13,蘋果,464,49.8,12.1,402.1,食品三班,86.66
2026-03-25,柚子,369,126.2,24.1,218.7,食品一班,59.27
2026-04-16,鳳梨,291,86.2,19.2,185.6,食品二班,63.78
2026-04-26,柚子,417,109.9,43.3,263.8,食品二班,63.26
2026-02-04,柚子,216,68.6,8.6,138.8,食品三班,64.26
2026-02-27,草莓,487,50.5,6.5,430,食品三班,88.3
2026-03-03,草莓,163,10.8,3.7,148.5,食品三班,91.1
2026-03-05,蘋果,247,27.1,4.4,215.5,食品一班,87.25
2026-01-10,芒果,448,76.8,17.2,354,食品二班,79.02
2026-01-20,柚子,192,60.5,11.7,119.8,食品一班,62.4
2026-03-21,芒果,146,20.5,7,118.5,食品二班,81.16
2026-03-16,蘋果,314,28.7,7.1,278.2,食品二班,88.6
2026-05-30,柚子,193,62.7,8.7,121.6,食品三班,63.01
2026-01-29,柚子,155,48.1,10.2,96.7,食品一班,62.39
2026-02-25,柚子,484,153.2,42.4,288.4,食品二班,59.59
2026-03-29,芒果,458,97.7,15.3,345,食品二班,75.33
2026-01-09,草莓,404,39.4,16.5,348.1,食品二班,86.16
2026-04-24,蘋果,152,18.9,2.5,130.6,食品二班,85.92
2026-02-11,鳳梨,317,97.2,15.8,204,食品一班,64.35
2026-02-10,柚子,463,136.5,42.3,284.2,食品三班,61.38
2026-04-19,芒果,321,57.3,17.4,246.3,食品三班,76.73
2026-02-24,奇異果,147,29.8,6.4,110.8,食品三班,75.37
2026-05-21,芒果,260,46.6,17.3,196.1,食品二班,75.42
2026-04-12,鳳梨,321,109.9,20.6,190.5,食品一班,59.35
2026-04-12,鳳梨,471,141,27.3,302.7,食品三班,64.27
2026-01-30,鳳梨,166,50.3,20.1,95.6,食品三班,57.59
2026-03-01,芒果,131,24.3,4.8,101.9,食品二班,77.79
2026-02-17,鳳梨,381,139.4,22.2,219.4,食品二班,57.59
2026-03-08,蘋果,496,52.9,8.5,434.6,食品三班,87.62
2026-05-24,芒果,427,71.7,20.7,334.6,食品一班,78.36
2026-04-06,蘋果,398,36.2,13,348.8,食品一班,87.64
2026-02-09,柚子,401,138.8,25.4,236.8,食品三班,59.05
2026-05-21,鳳梨,106,36.5,11,58.5,食品三班,55.19
2026-04-18,奇異果,197,27,5.6,164.4,食品二班,83.45
2026-05-12,蘋果,345,41.2,7.4,296.4,食品一班,85.91
2026-02-24,芒果,225,48.5,7.3,169.2,食品三班,75.2
2026-05-06,草莓,146,15.6,5.8,124.6,食品一班,85.34
2026-05-08,柚子,289,89.8,30,169.2,食品二班,58.55
2026-02-05,奇異果,107,19.5,6.9,80.6,食品二班,75.33
2026-05-23,蘋果,351,31.2,6.7,313.1,食品一班,89.2
2026-01-21,柚子,329,97.1,20.6,211.3,食品三班,64.22
2026-02-18,奇異果,231,37.9,12.2,180.9,食品二班,78.31
2026-04-12,芒果,289,57.6,6.7,224.7,食品二班,77.75
2026-05-25,草莓,426,25.7,10.3,390,食品三班,91.55
2026-04-21,鳳梨,391,134.6,18.2,238.2,食品一班,60.92
2026-01-23,奇異果,238,38.5,9.1,190.4,食品二班,80
2026-03-25,奇異果,368,49.3,7.4,311.3,食品三班,84.59
2026-05-24,鳳梨,288,108.7,17.4,161.9,食品一班,56.22
2026-04-08,奇異果,420,70.9,19.9,329.2,食品三班,78.38
2026-03-19,芒果,440,70.3,26.7,343,食品一班,77.95
2026-05-19,鳳梨,257,99.2,13.5,144.3,食品三班,56.15
2026-01-08,芒果,337,48.5,20.4,268.1,食品三班,79.55
2026-04-06,柚子,365,115.8,21.7,227.5,食品二班,62.33
2026-04-28,芒果,155,29,3.8,122.2,食品二班,78.84
2026-02-02,柚子,458,113.2,47.3,297.5,食品二班,64.96
2026-04-16,芒果,287,63.4,8.2,215.4,食品三班,75.05
2026-01-31,草莓,275,29.5,7.8,237.7,食品一班,86.44
2026-03-31,奇異果,490,90.7,18.7,380.6,食品三班,77.67
2026-04-03,柚子,386,112.8,39.9,233.3,食品一班,60.44
2026-01-22,鳳梨,297,95.5,12.4,189.1,食品一班,63.67
2026-02-18,蘋果,469,45.8,17.8,405.4,食品一班,86.44
2026-04-21,柚子,269,70.8,25.9,172.3,食品一班,64.05
2026-01-03,蘋果,480,47.9,16.7,415.4,食品二班,86.54
2026-03-20,芒果,120,19.1,3.4,97.5,食品二班,81.25
2026-05-23,奇異果,500,97,24.6,378.4,食品一班,75.68
2026-01-05,鳳梨,492,146.7,51.8,293.5,食品二班,59.65
2026-04-08,蘋果,369,36.4,9.8,322.8,食品一班,87.48
2026-02-07,蘋果,328,31.6,5.3,291.1,食品三班,88.75
2026-05-09,芒果,373,72.3,12,288.7,食品三班,77.4
2026-02-19,柚子,147,48.6,10.9,87.5,食品三班,59.52
2026-05-30,奇異果,136,15.1,5.6,115.3,食品二班,84.78
2026-03-23,草莓,350,31.3,4.8,313.9,食品二班,89.69
2026-03-31,鳳梨,341,108.3,26.4,206.3,食品一班,60.5
2026-04-15,草莓,207,22,6.4,178.6,食品一班,86.28
2026-01-17,草莓,443,52.1,6.1,384.8,食品三班,86.86
2026-03-08,蘋果,269,24.7,5.5,238.8,食品二班,88.77
2026-01-27,草莓,280,20.9,6.3,252.8,食品二班,90.29
2026-05-02,草莓,252,27.7,5.6,218.7,食品三班,86.79
2026-03-07,草莓,389,39.4,5.5,344.1,食品二班,88.46
2026-02-04,草莓,250,27.5,8.9,213.6,食品一班,85.44
2026-01-15,奇異果,485,86.1,32.5,366.4,食品三班,75.55
2026-02-07,草莓,169,16.6,3,149.4,食品二班,88.4
2026-01-30,奇異果,157,23,6.5,127.5,食品二班,81.21
2026-03-16,蘋果,308,29.9,7,271.1,食品二班,88.02
2026-02-03,鳳梨,105,32,6.5,66.5,食品一班,63.33
2026-04-01,蘋果,282,29.8,5.9,246.3,食品二班,87.34
2026-01-21,鳳梨,185,50.4,15.2,119.4,食品二班,64.54
2026-01-10,草莓,144,11.8,1.5,130.7,食品三班,90.76
2026-01-02,柚子,486,139,56.4,290.6,食品一班,59.79
2026-01-09,柚子,473,134.8,56.2,282,食品三班,59.62
2026-02-27,草莓,203,12.6,4.7,185.7,食品一班,91.48
2026-04-24,蘋果,240,29.9,5.1,205,食品二班,85.42
2026-02-03,蘋果,240,22.3,5,212.7,食品三班,88.62
2026-04-10,奇異果,307,61.1,7.4,238.5,食品一班,77.69
2026-01-19,蘋果,230,19.5,3.9,206.6,食品一班,89.83
2026-03-06,柚子,306,89.5,23.7,192.8,食品三班,63.01
2026-03-28,奇異果,323,50.3,20,252.7,食品二班,78.24
2026-03-26,芒果,250,39.6,14.3,196.1,食品一班,78.44
2026-02-24,草莓,399,37.8,4.6,356.6,食品二班,89.37
2026-01-12,蘋果,326,34.6,5.8,285.6,食品一班,87.61
2026-02-09,奇異果,325,39.6,10.7,274.7,食品一班,84.52
2026-05-29,芒果,414,79.3,19.1,315.6,食品一班,76.23
2026-04-13,草莓,240,15.5,6.6,217.9,食品三班,90.79
2026-03-02,奇異果,211,27.3,7,176.7,食品一班,83.74
2026-01-07,柚子,181,65.9,13.5,101.6,食品三班,56.13
2026-02-01,奇異果,273,41.9,10.8,220.3,食品三班,80.7
2026-02-08,芒果,282,48.4,6.8,226.8,食品三班,80.43
2026-05-02,奇異果,228,43.3,7.2,177.5,食品二班,77.85
2026-02-27,柚子,156,46.4,19.6,90,食品一班,57.69
2026-05-21,蘋果,226,17.6,6.9,201.5,食品一班,89.16
2026-04-17,奇異果,464,62.3,20.4,381.3,食品一班,82.18
2026-03-15,柚子,112,34.8,14.2,63,食品三班,56.25
2026-03-26,芒果,367,58.2,14.9,293.9,食品二班,80.08
2026-01-12,蘋果,194,18.1,3.4,172.5,食品一班,88.92
2026-05-14,奇異果,474,58.6,16.5,398.9,食品三班,84.16
2026-01-11,草莓,260,16.9,6.9,236.2,食品三班,90.85
2026-01-29,奇異果,401,50.4,13.7,336.9,食品一班,84.01
2026-04-02,奇異果,259,39.5,7,212.5,食品一班,82.05
2026-04-24,奇異果,241,46.1,6.9,188,食品二班,78.01
2026-01-04,鳳梨,284,88.5,34.2,161.3,食品二班,56.8
2026-05-14,奇異果,398,50.5,13,334.5,食品一班,84.05
2026-03-13,草莓,444,47.7,8.5,387.8,食品二班,87.34
2026-04-28,鳳梨,476,160.9,20.3,294.8,食品三班,61.93
2026-05-29,蘋果,189,21.1,3.1,164.8,食品二班,87.2
2026-03-06,鳳梨,265,77.2,33.1,154.7,食品一班,58.38
2026-03-04,蘋果,391,35,14.2,341.8,食品一班,87.42
